Header information
 
Source: G339.884-1.2
RA:   16 52  4.67        DEC: -46  8 34.22   (J2000)
OBS. DATE: 20131119          Time of record:   1/  6  7 32.9
No. channels:  1024           First channel plotted     1
Bw (kHz):      0.977
Rest freq. (MHz) :    6668.5195      Av. weight :       0.0000
 
DATA follow with format: (1X,I5,2X,I3,2X,A5,2X,F12.4,3(2X,G15.6))
 
Channel  IF  Polar     Frequency     Velocity         Real(Jy)         Imag(Jy)
   394    1  I           6669.3838     -16.2743          201.633          0.00000
   395    1  I           6669.3848     -16.3182          186.511          0.00000
   396    1  I           6669.3857     -16.3621          172.583          0.00000
   397    1  I           6669.3867     -16.4060          159.513          0.00000
   398    1  I           6669.3877     -16.4499          148.818          0.00000
   399    1  I           6669.3887     -16.4938          142.631          0.00000
   400    1  I           6669.3896     -16.5377          142.174          0.00000
   401    1  I           6669.3906     -16.5816          149.110          0.00000
   402    1  I           6669.3916     -16.6255          166.503          0.00000
   403    1  I           6669.3926     -16.6694          198.865          0.00000
   404    1  I           6669.3936     -16.7133          246.938          0.00000
   405    1  I           6669.3945     -16.7572          303.769          0.00000
   406    1  I           6669.3955     -16.8011          356.321          0.00000
   407    1  I           6669.3965     -16.8450          391.956          0.00000
   408    1  I           6669.3975     -16.8889          401.075          0.00000
   409    1  I           6669.3984     -16.9328          381.232          0.00000
   410    1  I           6669.3994     -16.9767          339.188          0.00000
   411    1  I           6669.4004     -17.0206          286.779          0.00000
   412    1  I           6669.4014     -17.0645          235.198          0.00000
   413    1  I           6669.4023     -17.1084          192.444          0.00000
   414    1  I           6669.4033     -17.1523          161.554          0.00000
   415    1  I           6669.4043     -17.1962          142.194          0.00000
   416    1  I           6669.4053     -17.2401          133.093          0.00000
   417    1  I           6669.4062     -17.2840          133.219          0.00000
   418    1  I           6669.4072     -17.3279          143.404          0.00000
   419    1  I           6669.4082     -17.3718          163.723          0.00000
   420    1  I           6669.4092     -17.4157          193.199          0.00000
   421    1  I           6669.4102     -17.4596          227.679          0.00000
   422    1  I           6669.4111     -17.5035          263.112          0.00000
   423    1  I           6669.4121     -17.5474          294.741          0.00000
   424    1  I           6669.4131     -17.5913          316.804          0.00000
   425    1  I           6669.4141     -17.6352          326.532          0.00000
   426    1  I           6669.4150     -17.6791          322.975          0.00000
   427    1  I           6669.4160     -17.7230          309.662          0.00000
   428    1  I           6669.4170     -17.7669          291.821          0.00000
   429    1  I           6669.4180     -17.8108          272.762          0.00000
   430    1  I           6669.4189     -17.8547          256.153          0.00000
   431    1  I           6669.4199     -17.8986          244.223          0.00000
   432    1  I           6669.4209     -17.9425          236.570          0.00000
   433    1  I           6669.4219     -17.9864          231.937          0.00000
   434    1  I           6669.4229     -18.0303          227.745          0.00000
   435    1  I           6669.4238     -18.0742          221.931          0.00000
   436    1  I           6669.4248     -18.1181          214.102          0.00000
   437    1  I           6669.4258     -18.1620          204.233          0.00000
   438    1  I           6669.4268     -18.2059          194.258          0.00000
   439    1  I           6669.4277     -18.2498          186.233          0.00000
   440    1  I           6669.4287     -18.2936          182.192          0.00000
   441    1  I           6669.4297     -18.3375          183.943          0.00000
   442    1  I           6669.4307     -18.3814          190.924          0.00000
   443    1  I           6669.4316     -18.4253          201.855          0.00000
   444    1  I           6669.4326     -18.4692          213.693          0.00000
   445    1  I           6669.4336     -18.5131          224.187          0.00000
   446    1  I           6669.4346     -18.5570          230.555          0.00000
   447    1  I           6669.4355     -18.6009          231.734          0.00000
