       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:40               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255S LINE2 .ICL001. 1   *****
 
   152   1341.000       19.318         0.099        -0.085        0.130        0.020        0.019        0.176     -482.601
   153   1342.000       45.892         0.075        -0.091        0.164        0.011        0.010        0.410     -482.978
   154   1343.000      103.196         0.034        -0.073        0.215        0.006        0.006        0.506     -483.356
   155   1343.000       10.741      -524.262       213.710        0.215        0.057        0.050        0.399     -483.356
   156   1344.000      197.673         0.004        -0.062        0.302        0.005        0.004        0.469     -483.733
   157   1344.000       11.753      -524.056       213.654        0.302        0.069        0.060        0.467     -483.733
   158   1345.000      310.786         0.001        -0.043        0.456        0.004        0.004        0.676     -484.111
   159   1346.000      398.346        -0.006        -0.025        0.598        0.004        0.004        0.938     -484.489
   160   1347.000      428.878         0.006        -0.005        0.662        0.005        0.004        0.884     -484.866
   161   1348.000      379.788         0.004         0.023        0.653        0.005        0.005        0.866     -485.244
   162   1349.000      270.097        -0.003         0.064        0.473        0.005        0.005        0.671     -485.622
   163   1350.000      151.379         0.002         0.104        0.357        0.007        0.007        0.488     -485.999
       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:40               Page    4
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   164   1351.000       65.753        -0.012         0.148        0.321        0.014        0.014        0.361     -486.377
   165   1352.000       23.598        -0.011         0.267        0.338        0.043        0.041        0.379     -486.755
   166   1357.000       14.160      -590.181       122.425        0.646        0.199        0.231        0.709     -488.643
   167   1358.000       19.312      -589.893       123.371        0.761        0.156        0.191        0.752     -489.021
   168   1359.000       22.949      -589.288       123.407        0.864        0.149        0.182        0.846     -489.398
   169   1360.000       21.643      -588.615       123.223        0.885        0.163        0.201        0.899     -489.776
   170   1361.000       20.430      -588.703       124.288        0.811        0.166        0.187        0.889     -490.154
   171   1361.000       12.610      -136.110      -105.785        0.835        0.233        0.242        0.650     -490.154
   172   1362.000       18.312        42.648       -96.642        0.836        0.153        0.138        1.519     -490.531
   173   1362.000       15.935      -590.269       126.570        0.799        0.198        0.209        0.937     -490.531
   174   1362.000       11.074      -137.588      -104.371        0.804        0.310        0.280        0.774     -490.531
   175   1363.000       42.095        42.776       -96.873        0.799        0.065        0.060        1.385     -490.909
   176   1363.000       11.349        50.175      -104.423        0.807        0.228        0.188        1.531     -490.909
   177   1363.000       10.199      -137.892      -104.633        0.771        0.330        0.288        0.658     -490.909
   178   1364.000       70.497        42.803       -97.053        0.767        0.037        0.036        2.245     -491.287
   179   1364.000       22.572        49.628      -104.480        0.778        0.100        0.086        2.248     -491.287
   180   1365.000       99.310        43.016       -97.367        0.735        0.027        0.026        3.682     -491.664
   181   1365.000       25.975        49.872      -104.851        0.752        0.080        0.069        3.231     -491.664
   182   1365.000       11.254      -611.993       204.358        0.711        0.284        0.252        1.058     -491.664
   183   1366.000      119.672        43.103       -97.688        0.715        0.023        0.023        6.787     -492.042
   184   1366.000       12.396      -611.944       204.611        0.699        0.229        0.236        0.825     -492.042
   185   1367.000      128.313        43.253       -98.077        0.626        0.019        0.019        6.169     -492.420
   186   1367.000       12.419       281.486      -229.025        0.634        0.174        0.180        0.683     -492.420
   187   1367.000       11.283       367.630      -349.501        0.627        0.231        0.186        0.828     -492.420
   188   1368.000      130.117        43.362       -98.433        0.627        0.019        0.019        5.182     -492.797
   189   1368.000       32.943       367.669      -349.366        0.636        0.072        0.061        0.811     -492.797
   190   1368.000       17.486       284.551      -232.197        0.635        0.122        0.127        0.599     -492.797
   191   1368.000       11.876       127.752      -217.186        0.620        0.214        0.224        0.421     -492.797
   192   1368.000       10.896        84.006      -223.285        0.624        0.222        0.236        0.617     -492.797
   193   1369.000      118.642        43.505       -98.798        0.640        0.022        0.021        4.033     -493.175
   194   1369.000       65.097       367.303      -349.322        0.651        0.038        0.032        1.252     -493.175
   195   1369.000       23.393       283.856      -231.626        0.645        0.101        0.103        0.755     -493.175
   196   1369.000       17.820       126.468      -216.055        0.647        0.126        0.132        0.567     -493.175
   197   1369.000       11.844       327.166      -225.407        0.622        0.280        0.304        0.728     -493.175
   198   1370.000      106.712        43.850       -99.249        0.628        0.024        0.023        2.677     -493.552
